Year,riders new,city,station
2018,"9,860,400",New York - Penn Station,New York / Penn Station
2018,"5,039,100",Washington - Union Station,Washington / Union Station
2018,"4,417,000",Philadelphia - 30th Street Station,Philadelphia - 30th St
2018,"3,293,600",Chicago - Union Station,Chicago - Union Station
2018,"1,533,500",Boston - South Station,Boston - South Station
2018,"1,446,900",Los Angeles - Union Station,Los Angeles / Union Station
2018,"1,072,100",Sacramento,Sacramento
2018,"1,026,000",Baltimore - Penn Station,Baltimore / Penn Station
2018,"790,500",Albany-Rensselaer,Albany/Rensselaer
2018,"758,400",Providence,Providence
2018,"748,500",Baltimore - BWI Thurgood Marshall Airport,Baltimore / BWI Thurgood Marshall Airport
2018,"697,500",Newark,Newark
2018,"695,200",Wilmington,Wilmington
2018,"688,900",New Haven,New Haven
2018,"677,500",Seattle - King Street Station,Seattle / King Street Station
2018,"676,500",Boston - Back Bay,Boston - Back Bay
2018,"666,000",San Diego,San Diego
2018,"596,200",Milwaukee,Milwaukee
2018,"588,000",Emeryville,Emeryville
2018,"565,900",Portland - Union Station,Portland / Union Station
2018,"561,400",Lancaster,Lancaster
2018,"507,200",Harrisburg,Harrisburg
2018,"458,200",Boston - North Station Maine Service,Boston - North Station
2018,"458,200",Boston - Route 128 / Westwood,Westwood
2018,"431,400",Bakersfield,Bakersfield
2018,"430,600",Trenton,Trenton
2018,"412,800",Stamford,Stamford
2018,"386,400",Oakland - Jack London Sq,Oakland / Jack London Sq
2018,"383,300",Davis,Davis
2018,"377,100",Solana Beach,Solana Beach
2018,"371,600",Fresno,Fresno
2018,"365,400",Irvine,Irvine
2018,"364,700",Iselin,Iselin
2018,"363,200",Santa Barbara,Santa Barbara
2018,"357,200",St. Louis,St. Louis
2018,"341,700",Richmond - Staples Mill Rd,Richmond / Staples Mill Rd
2018,"341,600",Martinez,Martinez
2018,"286,900",Richmond,Richmond
2018,"285,800",Stockton,Stockton
2018,"284,300",Oceanside,Oceanside
2018,"256,600",Anaheim,Anaheim
2018,"235,500",Bloomington-Normal,Bloomington-Normal
2018,"232,200",Paoli,Paoli
2018,"229,300",San Jose,San Jose
2018,"224,800",Lorton - Auto Train Only,Lorton / Auto Train Only
2018,"224,800",Sanford - Auto Train Only,Sanford / Auto Train Only
2018,"219,800",Hudson,Hudson
2018,"198,100",Rhinecliff,Rhinecliff
2018,"187,800",Hanford,Hanford
2018,"187,300",Alexandria,Alexandria
2018,"180,400",New Orleans,New Orleans
2018,"180,300",Milwaukee - Airport,Milwaukee / Airport
2018,"177,500",Santa Clara - Great America,Santa Clara / Great America
2018,"173,800",New Carrollton,New Carrollton
2018,"171,900",Berkeley,Berkeley
2018,"169,500",Kingston,Kingston
2018,"167,900",Newark - International Airport,Newark / International Airport
2018,"166,100",Portland,Portland
2018,"160,200",New London,New London
2018,"155,600",Ann Arbor,Ann Arbor
2018,"153,800",Raleigh,Raleigh
2018,"153,500",Champaign-Urbana,Champaign/Urbana
2018,"151,900",Kansas City,Kansas City
2018,"151,100",Santa Ana,Santa Ana
2018,"147,500",Hartford,Hartford
2018,"142,700",Exton,Exton
2018,"141,500",Denver,Denver
2018,"138,600",Suisun-Fairfield,Suisun/Fairfield
2018,"136,800",Pittsburgh,Pittsburgh
2018,"131,400",Charlottesville,Charlottesville
2018,"127,200",Syracuse,Syracuse
2018,"126,700",Rochester,Rochester
2018,"120,300",Kalamazoo,Kalamazoo
2018,"118,900",Vancouver,Vancouver
2018,"116,500",Greensboro,Greensboro
2018,"111,400",Modesto,Modesto
2018,"110,800",Goleta,Goleta
2018,"110,800",Tacoma,Tacoma
2018,"107,200",Fort Worth,Fort Worth
2018,"105,700",Tampa,Tampa
2018,"104,400",Oxnard,Oxnard
2018,"104,200",Buffalo - Depew,Buffalo / Depew
2018,"101,100",San Luis Obispo,San Luis Obispo
2018,"99,600",Elizabethtown,Elizabethtown
2018,"99,400",Springfield,Springfield
2018,"98,300",Newport News,Newport News
2018,"93,900",Poughkeepsie,Poughkeepsie
2018,"93,553",Ventura,Ventura
2018,"93,200",Galesburg,Galesburg
2018,"91,468",New Rochelle,New Rochelle
2018,"90,196",Bridgeport,Bridgeport
2018,"89,900",Carbondale,Carbondale
2018,"88,728",Oakland - Coliseum Airport,Oakland / Coliseum Airport
2018,"88,500",Eugene,Eugene
2018,"88,500",Exeter,Exeter
2018,"82,814",Sturtevant,Sturtevant
2018,"81,534",Cary,Cary
2018,"81,154",Downingtown,Downingtown
2018,"75,985",Van Nuys,Van Nuys
2018,"74,089",Durham,"Durham, NC"
2018,"72,270",Dearborn,Dearborn
2018,"70,900",Atlanta,Atlanta
2018,"70,518",Reno,Reno
2018,"70,182",Memphis,Memphis
2018,"68,294",East Lansing,East Lansing
2018,"68,047",Middletown,Middletown
2018,"67,503",Old Saybrook,Old Saybrook
2018,"66,591",Alton,Alton
2018,"66,085",Jacksonville,Jacksonville
2018,"65,800",Lacey,Lacey
2018,"65,548",Detroit,Detroit
2018,"64,382",Albuquerque,Albuquerque
2018,"64,063",Chatsworth,Chatsworth
2018,"64,053",Dover,Dover
2018,"63,560",Burbank - Airport,Burbank / Airport
2018,"63,500",Miami,Miami
2018,"63,493",Ardmore,Ardmore
2018,"60,947",Fredericksburg,Fredericksburg
2018,"60,618",Joliet,Joliet
2018,"60,081",Macomb,Macomb
2018,"59,423",Utica,Utica
2018,"57,993",Hayward,Hayward
2018,"57,772",Durham,"Durham, NH"
2018,"56,960",Wells,Wells
2018,"56,866",Lynchburg,Lynchburg
2018,"56,354",Williamsburg,Williamsburg
2018,"55,497",Glenview,Glenview
2018,"55,210",Whitefish,Whitefish
2018,"55,090",Salem,Salem
2018,"54,868",Camarillo,Camarillo
2018,"54,369",Kirkwood,Kirkwood
2018,"53,934",Wilson,Wilson
2018,"53,769",Savannah,Savannah
2018,"52,719",San Antonio,San Antonio
2018,"52,572",West Palm Beach,West Palm Beach
2018,"51,365",Rocky Mount,Rocky Mount
2018,"50,960",Toledo,Toledo
2018,"50,528",Fayetteville,Fayetteville
2018,"50,278",Carpinteria,Carpinteria
2018,"50,130",Schenectady,Schenectady
2018,"49,319",Bellingham,Bellingham
2018,"48,657",Cleveland,Cleveland
2018,"48,158",Saco,Saco
2018,"48,033",Richmond - Main Street Station,Richmond / Main Street Station
2018,"46,784",Spokane,Spokane
2018,"46,094",Dallas,Dallas
2018,"45,788",Westerly,Westerly
2018,"45,592",Mount Joy,Mount Joy
2018,"45,195",Salt Lake City,Salt Lake City
2018,"44,815",Glendale,Glendale
2018,"44,559",Fremont,Fremont
2018,"44,513",Parkesburg,Parkesburg
2018,"44,386",Oklahoma City,Oklahoma City
2018,"44,174",Simi Valley,Simi Valley
2018,"43,950",Jackson,"Jackson, MS"
2018,"43,467",Glenwood Springs,Glenwood Springs
2018,"43,184",Croton-Harmon,Croton/Harmon
2018,"42,838",Flagstaff,Flagstaff
2018,"42,803",Haverhill,Haverhill
2018,"41,753",Naperville,Naperville
2018,"41,420",Battle Creek,Battle Creek
2018,"40,249",Fort Lauderdale,Fort Lauderdale
2018,"40,187",Florence,Florence
2018,"39,974",Grand Rapids,Grand Rapids
2018,"39,891",Birmingham,Birmingham
2018,"38,794",Everett,Everett
2018,"38,775",Roseville,Roseville
2018,"38,748",Jefferson City,Jefferson City
2018,"38,089",Buffalo - Exchange St.,Buffalo / Exchange St.
2018,"37,867",Aberdeen,Aberdeen
2018,"37,708",Princeton,Princeton
2018,"37,303",Saratoga Springs,Saratoga Springs
2018,"37,050",Princeton Junction,Princeton Junction
2018,"36,851",Quincy,Quincy
2018,"36,288",Holland,Holland
2018,"36,065",Klamath Falls,Klamath Falls
2018,"35,878",Homewood,Homewood
2018,"35,844",Wasco,Wasco
2018,"35,343",Antioch-Pittsburg,Antioch/Pittsburg
2018,"34,774",Kissimmee,Kissimmee
2018,"34,392",Longview,Longview
2018,"33,908",Mattoon,Mattoon
2018,"33,624",Austin,Austin
2018,"32,995",Tukwila,Tukwila
2018,"32,699",Niagara Falls,Niagara Falls
2018,"32,146",Grand Junction,Grand Junction
2018,"31,497",Petersburg,Petersburg
2018,"31,048",High Point,High Point
2018,"31,011",Kelso-Longview,Kelso/Longview
2018,"30,780",Albany,Albany
2018,"30,492",Denair,Denair
2018,"29,805",Columbia,Columbia
2018,"29,531",Minot,Minot
2018,"29,013",Williston,Williston
2018,"28,939",Ashland,Ashland
2018,"28,804",Indianapolis,Indianapolis
2018,"28,796",Edmonds,Edmonds
2018,"28,384",Madera,Madera
2018,"28,344",Yonkers,Yonkers
2018,"28,218",Centralia,Centralia
2018,"28,017",Mystic,Mystic
2018,"27,840",Tucson,Tucson
2018,"27,777",Flint,Flint
2018,"27,318",Royal Oak,Royal Oak
2018,"26,895",Omaha,Omaha
2018,"26,565",Lees Summit,Lees Summit
2018,"25,890",Hermann,Hermann
2018,"25,849",New Buffalo,New Buffalo
2018,"25,844",Winter Park,Winter Park
2018,"25,622",La Crosse,La Crosse
2018,"24,658",Corcoran,Corcoran
2018,"24,605",Stockton - ACE Station,Stockton / ACE Station
2018,"24,131",Effingham,Effingham
2018,"23,443",Lincoln,"Lincoln, IL"
2018,"23,347",Jackson,"Jackson, MI"
2018,"23,048",Manassas,Manassas
