,Year,Ridership,city,report type,url,row_num,type,station
0,2012,41499.0,Aberdeen,"['\n                    Aberdeen, MD (ABE)\n                ']",https://www.railpassengers.org//site/assets/files/1679/abe.pdf,50,stations,"Aberdeen, MD (ABE)"
1,2013,40160.0,Aberdeen,"['\n                    Aberdeen, MD (ABE)\n                ']",https://www.railpassengers.org//site/assets/files/1679/abe.pdf,50,stations,"Aberdeen, MD (ABE)"
2,2014,39541.0,Aberdeen,"['\n                    Aberdeen, MD (ABE)\n                ']",https://www.railpassengers.org//site/assets/files/1679/abe.pdf,50,stations,"Aberdeen, MD (ABE)"
3,2015,39648.0,Aberdeen,"['\n                    Aberdeen, MD (ABE)\n                ']",https://www.railpassengers.org//site/assets/files/1679/abe.pdf,50,stations,"Aberdeen, MD (ABE)"
4,2016,37161.0,Aberdeen,"['\n                    Aberdeen, MD (ABE)\n                ']",https://www.railpassengers.org//site/assets/files/1679/abe.pdf,50,stations,"Aberdeen, MD (ABE)"
5,2017,37045.0,Aberdeen,"['\n                    Aberdeen, MD (ABE)\n                ']",https://www.railpassengers.org//site/assets/files/1679/abe.pdf,50,stations,"Aberdeen, MD (ABE)"
6,2018,37867.0,Aberdeen,"['\n                    Aberdeen, MD (ABE)\n                ']",https://www.railpassengers.org//site/assets/files/1679/abe.pdf,50,stations,"Aberdeen, MD (ABE)"
7,2012,39365.0,Albany,"['\n                    Albany, OR (ALY)\n                ']",https://www.railpassengers.org//site/assets/files/1684/aly.pdf,51,stations,"Albany, OR (ALY)"
8,2013,40032.0,Albany,"['\n                    Albany, OR (ALY)\n                ']",https://www.railpassengers.org//site/assets/files/1684/aly.pdf,51,stations,"Albany, OR (ALY)"
9,2014,34796.0,Albany,"['\n                    Albany, OR (ALY)\n                ']",https://www.railpassengers.org//site/assets/files/1684/aly.pdf,51,stations,"Albany, OR (ALY)"
10,2015,32497.0,Albany,"['\n                    Albany, OR (ALY)\n                ']",https://www.railpassengers.org//site/assets/files/1684/aly.pdf,51,stations,"Albany, OR (ALY)"
11,2016,33656.0,Albany,"['\n                    Albany, OR (ALY)\n                ']",https://www.railpassengers.org//site/assets/files/1684/aly.pdf,51,stations,"Albany, OR (ALY)"
12,2017,33933.0,Albany,"['\n                    Albany, OR (ALY)\n                ']",https://www.railpassengers.org//site/assets/files/1684/aly.pdf,51,stations,"Albany, OR (ALY)"
13,2018,30780.0,Albany,"['\n                    Albany, OR (ALY)\n                ']",https://www.railpassengers.org//site/assets/files/1684/aly.pdf,51,stations,"Albany, OR (ALY)"
14,2012,750.5,Albany-Rensselaer,"['\n                    Albany-Rensselaer, NY (ALB)\n                ']",https://www.railpassengers.org//site/assets/files/1685/alb.pdf,52,stations,"Albany-Rensselaer, NY (ALB)"
15,2013,747.0,Albany-Rensselaer,"['\n                    Albany-Rensselaer, NY (ALB)\n                ']",https://www.railpassengers.org//site/assets/files/1685/alb.pdf,52,stations,"Albany-Rensselaer, NY (ALB)"
16,2014,766.2,Albany-Rensselaer,"['\n                    Albany-Rensselaer, NY (ALB)\n                ']",https://www.railpassengers.org//site/assets/files/1685/alb.pdf,52,stations,"Albany-Rensselaer, NY (ALB)"
17,2015,816.1,Albany-Rensselaer,"['\n                    Albany-Rensselaer, NY (ALB)\n                ']",https://www.railpassengers.org//site/assets/files/1685/alb.pdf,52,stations,"Albany-Rensselaer, NY (ALB)"
18,2016,842.2,Albany-Rensselaer,"['\n                    Albany-Rensselaer, NY (ALB)\n                ']",https://www.railpassengers.org//site/assets/files/1685/alb.pdf,52,stations,"Albany-Rensselaer, NY (ALB)"
19,2017,788.1,Albany-Rensselaer,"['\n                    Albany-Rensselaer, NY (ALB)\n                ']",https://www.railpassengers.org//site/assets/files/1685/alb.pdf,52,stations,"Albany-Rensselaer, NY (ALB)"
20,2018,790.5,Albany-Rensselaer,"['\n                    Albany-Rensselaer, NY (ALB)\n                ']",https://www.railpassengers.org//site/assets/files/1685/alb.pdf,52,stations,"Albany-Rensselaer, NY (ALB)"
21,2012,1980.0,Albion,"['\n                    Albion, MI (ALI)\n                ']",https://www.railpassengers.org//site/assets/files/1686/ali.pdf,53,stations,"Albion, MI (ALI)"
22,2013,1932.0,Albion,"['\n                    Albion, MI (ALI)\n                ']",https://www.railpassengers.org//site/assets/files/1686/ali.pdf,53,stations,"Albion, MI (ALI)"
23,2014,1727.0,Albion,"['\n                    Albion, MI (ALI)\n                ']",https://www.railpassengers.org//site/assets/files/1686/ali.pdf,53,stations,"Albion, MI (ALI)"
24,2015,1808.0,Albion,"['\n                    Albion, MI (ALI)\n                ']",https://www.railpassengers.org//site/assets/files/1686/ali.pdf,53,stations,"Albion, MI (ALI)"
25,2016,1603.0,Albion,"['\n                    Albion, MI (ALI)\n                ']",https://www.railpassengers.org//site/assets/files/1686/ali.pdf,53,stations,"Albion, MI (ALI)"
26,2017,2194.0,Albion,"['\n                    Albion, MI (ALI)\n                ']",https://www.railpassengers.org//site/assets/files/1686/ali.pdf,53,stations,"Albion, MI (ALI)"
27,2018,2011.0,Albion,"['\n                    Albion, MI (ALI)\n                ']",https://www.railpassengers.org//site/assets/files/1686/ali.pdf,53,stations,"Albion, MI (ALI)"
28,2012,76538.0,Albuquerque,"['\n                    Albuquerque, NM (ABQ)\n                ']",https://www.railpassengers.org//site/assets/files/1687/abq.pdf,54,stations,"Albuquerque, NM (ABQ)"
29,2013,76026.0,Albuquerque,"['\n                    Albuquerque, NM (ABQ)\n                ']",https://www.railpassengers.org//site/assets/files/1687/abq.pdf,54,stations,"Albuquerque, NM (ABQ)"
30,2014,75398.0,Albuquerque,"['\n                    Albuquerque, NM (ABQ)\n                ']",https://www.railpassengers.org//site/assets/files/1687/abq.pdf,54,stations,"Albuquerque, NM (ABQ)"
31,2015,77532.0,Albuquerque,"['\n                    Albuquerque, NM (ABQ)\n                ']",https://www.railpassengers.org//site/assets/files/1687/abq.pdf,54,stations,"Albuquerque, NM (ABQ)"
32,2016,75651.0,Albuquerque,"['\n                    Albuquerque, NM (ABQ)\n                ']",https://www.railpassengers.org//site/assets/files/1687/abq.pdf,54,stations,"Albuquerque, NM (ABQ)"
33,2017,74293.0,Albuquerque,"['\n                    Albuquerque, NM (ABQ)\n                ']",https://www.railpassengers.org//site/assets/files/1687/abq.pdf,54,stations,"Albuquerque, NM (ABQ)"
34,2018,64382.0,Albuquerque,"['\n                    Albuquerque, NM (ABQ)\n                ']",https://www.railpassengers.org//site/assets/files/1687/abq.pdf,54,stations,"Albuquerque, NM (ABQ)"
35,2012,603.0,Alderson,"['\n                    Alderson, WV (ALD)\n                ']",https://www.railpassengers.org//site/assets/files/1689/ald.pdf,55,stations,"Alderson, WV (ALD)"
36,2013,586.0,Alderson,"['\n                    Alderson, WV (ALD)\n                ']",https://www.railpassengers.org//site/assets/files/1689/ald.pdf,55,stations,"Alderson, WV (ALD)"
37,2014,551.0,Alderson,"['\n                    Alderson, WV (ALD)\n                ']",https://www.railpassengers.org//site/assets/files/1689/ald.pdf,55,stations,"Alderson, WV (ALD)"
38,2015,432.0,Alderson,"['\n                    Alderson, WV (ALD)\n                ']",https://www.railpassengers.org//site/assets/files/1689/ald.pdf,55,stations,"Alderson, WV (ALD)"
39,2016,449.0,Alderson,"['\n                    Alderson, WV (ALD)\n                ']",https://www.railpassengers.org//site/assets/files/1689/ald.pdf,55,stations,"Alderson, WV (ALD)"
40,2017,449.0,Alderson,"['\n                    Alderson, WV (ALD)\n                ']",https://www.railpassengers.org//site/assets/files/1689/ald.pdf,55,stations,"Alderson, WV (ALD)"
41,2018,433.0,Alderson,"['\n                    Alderson, WV (ALD)\n                ']",https://www.railpassengers.org//site/assets/files/1689/ald.pdf,55,stations,"Alderson, WV (ALD)"
42,2012,166.8,Alexandria,"['\n                    Alexandria, VA (ALX)\n                ']",https://www.railpassengers.org//site/assets/files/1690/alx.pdf,56,stations,"Alexandria, VA (ALX)"
43,2013,178.0,Alexandria,"['\n                    Alexandria, VA (ALX)\n                ']",https://www.railpassengers.org//site/assets/files/1690/alx.pdf,56,stations,"Alexandria, VA (ALX)"
44,2014,178.6,Alexandria,"['\n                    Alexandria, VA (ALX)\n                ']",https://www.railpassengers.org//site/assets/files/1690/alx.pdf,56,stations,"Alexandria, VA (ALX)"
45,2015,181.4,Alexandria,"['\n                    Alexandria, VA (ALX)\n                ']",https://www.railpassengers.org//site/assets/files/1690/alx.pdf,56,stations,"Alexandria, VA (ALX)"
46,2016,180.7,Alexandria,"['\n                    Alexandria, VA (ALX)\n                ']",https://www.railpassengers.org//site/assets/files/1690/alx.pdf,56,stations,"Alexandria, VA (ALX)"
47,2017,190.6,Alexandria,"['\n                    Alexandria, VA (ALX)\n                ']",https://www.railpassengers.org//site/assets/files/1690/alx.pdf,56,stations,"Alexandria, VA (ALX)"
48,2018,187.3,Alexandria,"['\n                    Alexandria, VA (ALX)\n                ']",https://www.railpassengers.org//site/assets/files/1690/alx.pdf,56,stations,"Alexandria, VA (ALX)"
49,2012,4373.0,Alliance,"['\n                    Alliance, OH (ALC)\n                ']",https://www.railpassengers.org//site/assets/files/1691/alc.pdf,57,stations,"Alliance, OH (ALC)"
50,2013,4538.0,Alliance,"['\n                    Alliance, OH (ALC)\n                ']",https://www.railpassengers.org//site/assets/files/1691/alc.pdf,57,stations,"Alliance, OH (ALC)"
51,2014,4691.0,Alliance,"['\n                    Alliance, OH (ALC)\n                ']",https://www.railpassengers.org//site/assets/files/1691/alc.pdf,57,stations,"Alliance, OH (ALC)"
52,2015,4714.0,Alliance,"['\n                    Alliance, OH (ALC)\n                ']",https://www.railpassengers.org//site/assets/files/1691/alc.pdf,57,stations,"Alliance, OH (ALC)"
53,2016,5191.0,Alliance,"['\n                    Alliance, OH (ALC)\n                ']",https://www.railpassengers.org//site/assets/files/1691/alc.pdf,57,stations,"Alliance, OH (ALC)"
54,2017,5020.0,Alliance,"['\n                    Alliance, OH (ALC)\n                ']",https://www.railpassengers.org//site/assets/files/1691/alc.pdf,57,stations,"Alliance, OH (ALC)"
55,2018,4501.0,Alliance,"['\n                    Alliance, OH (ALC)\n                ']",https://www.railpassengers.org//site/assets/files/1691/alc.pdf,57,stations,"Alliance, OH (ALC)"
56,2012,4416.0,Alpine,"['\n                    Alpine, TX (ALP)\n                ']",https://www.railpassengers.org//site/assets/files/1693/alp.pdf,58,stations,"Alpine, TX (ALP)"
57,2013,4921.0,Alpine,"['\n                    Alpine, TX (ALP)\n                ']",https://www.railpassengers.org//site/assets/files/1693/alp.pdf,58,stations,"Alpine, TX (ALP)"
58,2014,4756.0,Alpine,"['\n                    Alpine, TX (ALP)\n                ']",https://www.railpassengers.org//site/assets/files/1693/alp.pdf,58,stations,"Alpine, TX (ALP)"
59,2015,4969.0,Alpine,"['\n                    Alpine, TX (ALP)\n                ']",https://www.railpassengers.org//site/assets/files/1693/alp.pdf,58,stations,"Alpine, TX (ALP)"
60,2016,4943.0,Alpine,"['\n                    Alpine, TX (ALP)\n                ']",https://www.railpassengers.org//site/assets/files/1693/alp.pdf,58,stations,"Alpine, TX (ALP)"
61,2017,4999.0,Alpine,"['\n                    Alpine, TX (ALP)\n                ']",https://www.railpassengers.org//site/assets/files/1693/alp.pdf,58,stations,"Alpine, TX (ALP)"
62,2018,5311.0,Alpine,"['\n                    Alpine, TX (ALP)\n                ']",https://www.railpassengers.org//site/assets/files/1693/alp.pdf,58,stations,"Alpine, TX (ALP)"
63,2012,61346.0,Alton,"['\n                    Alton, IL (ALN)\n                ']",https://www.railpassengers.org//site/assets/files/1694/aln.pdf,59,stations,"Alton, IL (ALN)"
64,2013,71685.0,Alton,"['\n                    Alton, IL (ALN)\n                ']",https://www.railpassengers.org//site/assets/files/1694/aln.pdf,59,stations,"Alton, IL (ALN)"
65,2014,67640.0,Alton,"['\n                    Alton, IL (ALN)\n                ']",https://www.railpassengers.org//site/assets/files/1694/aln.pdf,59,stations,"Alton, IL (ALN)"
66,2015,60761.0,Alton,"['\n                    Alton, IL (ALN)\n                ']",https://www.railpassengers.org//site/assets/files/1694/aln.pdf,59,stations,"Alton, IL (ALN)"
67,2016,59188.0,Alton,"['\n                    Alton, IL (ALN)\n                ']",https://www.railpassengers.org//site/assets/files/1694/aln.pdf,59,stations,"Alton, IL (ALN)"
68,2017,63579.0,Alton,"['\n                    Alton, IL (ALN)\n                ']",https://www.railpassengers.org//site/assets/files/1694/aln.pdf,59,stations,"Alton, IL (ALN)"
69,2018,66591.0,Alton,"['\n                    Alton, IL (ALN)\n                ']",https://www.railpassengers.org//site/assets/files/1694/aln.pdf,59,stations,"Alton, IL (ALN)"
70,2012,26360.0,Altoona,"['\n                    Altoona, PA (ALT)\n                ']",https://www.railpassengers.org//site/assets/files/1695/alt.pdf,60,stations,"Altoona, PA (ALT)"
71,2013,25522.0,Altoona,"['\n                    Altoona, PA (ALT)\n                ']",https://www.railpassengers.org//site/assets/files/1695/alt.pdf,60,stations,"Altoona, PA (ALT)"
72,2014,26088.0,Altoona,"['\n                    Altoona, PA (ALT)\n                ']",https://www.railpassengers.org//site/assets/files/1695/alt.pdf,60,stations,"Altoona, PA (ALT)"
73,2015,24900.0,Altoona,"['\n                    Altoona, PA (ALT)\n                ']",https://www.railpassengers.org//site/assets/files/1695/alt.pdf,60,stations,"Altoona, PA (ALT)"
74,2016,21865.0,Altoona,"['\n                    Altoona, PA (ALT)\n                ']",https://www.railpassengers.org//site/assets/files/1695/alt.pdf,60,stations,"Altoona, PA (ALT)"
75,2017,21447.0,Altoona,"['\n                    Altoona, PA (ALT)\n                ']",https://www.railpassengers.org//site/assets/files/1695/alt.pdf,60,stations,"Altoona, PA (ALT)"
76,2018,19378.0,Altoona,"['\n                    Altoona, PA (ALT)\n                ']",https://www.railpassengers.org//site/assets/files/1695/alt.pdf,60,stations,"Altoona, PA (ALT)"
77,2012,Partial Data,Amherst,"['\n                    Amherst, MA (AMM)\n                ']",https://www.railpassengers.org//site/assets/files/5017/amm.pdf,61,stations,"Amherst, MA (AMM)"
78,2013,Partial Data,Amherst,"['\n                    Amherst, MA (AMM)\n                ']",https://www.railpassengers.org//site/assets/files/5017/amm.pdf,61,stations,"Amherst, MA (AMM)"
79,2014,Partial Data,Amherst,"['\n                    Amherst, MA (AMM)\n                ']",https://www.railpassengers.org//site/assets/files/5017/amm.pdf,61,stations,"Amherst, MA (AMM)"
80,2015,Partial Data,Amherst,"['\n                    Amherst, MA (AMM)\n                ']",https://www.railpassengers.org//site/assets/files/5017/amm.pdf,61,stations,"Amherst, MA (AMM)"
81,2016,Partial Data,Amherst,"['\n                    Amherst, MA (AMM)\n                ']",https://www.railpassengers.org//site/assets/files/5017/amm.pdf,61,stations,"Amherst, MA (AMM)"
82,2017,Partial Data,Amherst,"['\n                    Amherst, MA (AMM)\n                ']",https://www.railpassengers.org//site/assets/files/5017/amm.pdf,61,stations,"Amherst, MA (AMM)"
83,2018,Partial Data,Amherst,"['\n                    Amherst, MA (AMM)\n                ']",https://www.railpassengers.org//site/assets/files/5017/amm.pdf,61,stations,"Amherst, MA (AMM)"
84,2012,9197.0,Amsterdam,"['\n                    Amsterdam, NY (AMS)\n                ']",https://www.railpassengers.org//site/assets/files/1696/ams.pdf,62,stations,"Amsterdam, NY (AMS)"
85,2013,10694.0,Amsterdam,"['\n                    Amsterdam, NY (AMS)\n                ']",https://www.railpassengers.org//site/assets/files/1696/ams.pdf,62,stations,"Amsterdam, NY (AMS)"
86,2014,11119.0,Amsterdam,"['\n                    Amsterdam, NY (AMS)\n                ']",https://www.railpassengers.org//site/assets/files/1696/ams.pdf,62,stations,"Amsterdam, NY (AMS)"
87,2015,11099.0,Amsterdam,"['\n                    Amsterdam, NY (AMS)\n                ']",https://www.railpassengers.org//site/assets/files/1696/ams.pdf,62,stations,"Amsterdam, NY (AMS)"
88,2016,10365.0,Amsterdam,"['\n                    Amsterdam, NY (AMS)\n                ']",https://www.railpassengers.org//site/assets/files/1696/ams.pdf,62,stations,"Amsterdam, NY (AMS)"
89,2017,10469.0,Amsterdam,"['\n                    Amsterdam, NY (AMS)\n                ']",https://www.railpassengers.org//site/assets/files/1696/ams.pdf,62,stations,"Amsterdam, NY (AMS)"
90,2018,10166.0,Amsterdam,"['\n                    Amsterdam, NY (AMS)\n                ']",https://www.railpassengers.org//site/assets/files/1696/ams.pdf,62,stations,"Amsterdam, NY (AMS)"
91,2012,209.4,Anaheim,"['\n                    Anaheim, CA (ANA)\n                ']",https://www.railpassengers.org//site/assets/files/1697/ana.pdf,63,stations,"Anaheim, CA (ANA)"
92,2013,214.5,Anaheim,"['\n                    Anaheim, CA (ANA)\n                ']",https://www.railpassengers.org//site/assets/files/1697/ana.pdf,63,stations,"Anaheim, CA (ANA)"
93,2014,212.8,Anaheim,"['\n                    Anaheim, CA (ANA)\n                ']",https://www.railpassengers.org//site/assets/files/1697/ana.pdf,63,stations,"Anaheim, CA (ANA)"
94,2015,236.3,Anaheim,"['\n                    Anaheim, CA (ANA)\n                ']",https://www.railpassengers.org//site/assets/files/1697/ana.pdf,63,stations,"Anaheim, CA (ANA)"
95,2016,243.9,Anaheim,"['\n                    Anaheim, CA (ANA)\n                ']",https://www.railpassengers.org//site/assets/files/1697/ana.pdf,63,stations,"Anaheim, CA (ANA)"
96,2017,247.6,Anaheim,"['\n                    Anaheim, CA (ANA)\n                ']",https://www.railpassengers.org//site/assets/files/1697/ana.pdf,63,stations,"Anaheim, CA (ANA)"
97,2018,256.6,Anaheim,"['\n                    Anaheim, CA (ANA)\n                ']",https://www.railpassengers.org//site/assets/files/1697/ana.pdf,63,stations,"Anaheim, CA (ANA)"
98,2012,141.9,Ann Arbor,"['\n                    Ann Arbor, MI (ARB)\n                ']",https://www.railpassengers.org//site/assets/files/1698/arb.pdf,64,stations,"Ann Arbor, MI (ARB)"
99,2013,155.4,Ann Arbor,"['\n                    Ann Arbor, MI (ARB)\n                ']",https://www.railpassengers.org//site/assets/files/1698/arb.pdf,64,stations,"Ann Arbor, MI (ARB)"
100,2014,141.4,Ann Arbor,"['\n                    Ann Arbor, MI (ARB)\n                ']",https://www.railpassengers.org//site/assets/files/1698/arb.pdf,64,stations,"Ann Arbor, MI (ARB)"
101,2015,141.2,Ann Arbor,"['\n                    Ann Arbor, MI (ARB)\n                ']",https://www.railpassengers.org//site/assets/files/1698/arb.pdf,64,stations,"Ann Arbor, MI (ARB)"
102,2016,127.2,Ann Arbor,"['\n                    Ann Arbor, MI (ARB)\n                ']",https://www.railpassengers.org//site/assets/files/1698/arb.pdf,64,stations,"Ann Arbor, MI (ARB)"
103,2017,144.1,Ann Arbor,"['\n                    Ann Arbor, MI (ARB)\n                ']",https://www.railpassengers.org//site/assets/files/1698/arb.pdf,64,stations,"Ann Arbor, MI (ARB)"
104,2018,155.6,Ann Arbor,"['\n                    Ann Arbor, MI (ARB)\n                ']",https://www.railpassengers.org//site/assets/files/1698/arb.pdf,64,stations,"Ann Arbor, MI (ARB)"
105,2012,6209.0,Anniston,"['\n                    Anniston, AL (ATN)\n                ']",https://www.railpassengers.org//site/assets/files/1699/atn.pdf,65,stations,"Anniston, AL (ATN)"
106,2013,5835.0,Anniston,"['\n                    Anniston, AL (ATN)\n                ']",https://www.railpassengers.org//site/assets/files/1699/atn.pdf,65,stations,"Anniston, AL (ATN)"
107,2014,5200.0,Anniston,"['\n                    Anniston, AL (ATN)\n                ']",https://www.railpassengers.org//site/assets/files/1699/atn.pdf,65,stations,"Anniston, AL (ATN)"
108,2015,5085.0,Anniston,"['\n                    Anniston, AL (ATN)\n                ']",https://www.railpassengers.org//site/assets/files/1699/atn.pdf,65,stations,"Anniston, AL (ATN)"
109,2016,4871.0,Anniston,"['\n                    Anniston, AL (ATN)\n                ']",https://www.railpassengers.org//site/assets/files/1699/atn.pdf,65,stations,"Anniston, AL (ATN)"
110,2017,4255.0,Anniston,"['\n                    Anniston, AL (ATN)\n                ']",https://www.railpassengers.org//site/assets/files/1699/atn.pdf,65,stations,"Anniston, AL (ATN)"
111,2018,3833.0,Anniston,"['\n                    Anniston, AL (ATN)\n                ']",https://www.railpassengers.org//site/assets/files/1699/atn.pdf,65,stations,"Anniston, AL (ATN)"
112,2012,39001.0,Antioch-Pittsburg,"['\n                    Antioch-Pittsburg, CA (ACA)\n                ']",https://www.railpassengers.org//site/assets/files/1700/aca.pdf,66,stations,"Antioch-Pittsburg, CA (ACA)"
113,2013,43953.0,Antioch-Pittsburg,"['\n                    Antioch-Pittsburg, CA (ACA)\n                ']",https://www.railpassengers.org//site/assets/files/1700/aca.pdf,66,stations,"Antioch-Pittsburg, CA (ACA)"
114,2014,43231.0,Antioch-Pittsburg,"['\n                    Antioch-Pittsburg, CA (ACA)\n                ']",https://www.railpassengers.org//site/assets/files/1700/aca.pdf,66,stations,"Antioch-Pittsburg, CA (ACA)"
115,2015,43217.0,Antioch-Pittsburg,"['\n                    Antioch-Pittsburg, CA (ACA)\n                ']",https://www.railpassengers.org//site/assets/files/1700/aca.pdf,66,stations,"Antioch-Pittsburg, CA (ACA)"
116,2016,39995.0,Antioch-Pittsburg,"['\n                    Antioch-Pittsburg, CA (ACA)\n                ']",https://www.railpassengers.org//site/assets/files/1700/aca.pdf,66,stations,"Antioch-Pittsburg, CA (ACA)"
117,2017,38103.0,Antioch-Pittsburg,"['\n                    Antioch-Pittsburg, CA (ACA)\n                ']",https://www.railpassengers.org//site/assets/files/1700/aca.pdf,66,stations,"Antioch-Pittsburg, CA (ACA)"
118,2018,35343.0,Antioch-Pittsburg,"['\n                    Antioch-Pittsburg, CA (ACA)\n                ']",https://www.railpassengers.org//site/assets/files/1700/aca.pdf,66,stations,"Antioch-Pittsburg, CA (ACA)"
119,2012,Partial Data,Arcadia,"['\n                    Arcadia, MO (ACD)\n                ']",https://www.railpassengers.org//site/assets/files/6876/acd.pdf,67,stations,"Arcadia, MO (ACD)"
120,2013,Partial Data,Arcadia,"['\n                    Arcadia, MO (ACD)\n                ']",https://www.railpassengers.org//site/assets/files/6876/acd.pdf,67,stations,"Arcadia, MO (ACD)"
121,2014,Partial Data,Arcadia,"['\n                    Arcadia, MO (ACD)\n                ']",https://www.railpassengers.org//site/assets/files/6876/acd.pdf,67,stations,"Arcadia, MO (ACD)"
122,2015,Partial Data,Arcadia,"['\n                    Arcadia, MO (ACD)\n                ']",https://www.railpassengers.org//site/assets/files/6876/acd.pdf,67,stations,"Arcadia, MO (ACD)"
123,2016,Partial Data,Arcadia,"['\n                    Arcadia, MO (ACD)\n                ']",https://www.railpassengers.org//site/assets/files/6876/acd.pdf,67,stations,"Arcadia, MO (ACD)"
124,2017,Partial Data,Arcadia,"['\n                    Arcadia, MO (ACD)\n                ']",https://www.railpassengers.org//site/assets/files/6876/acd.pdf,67,stations,"Arcadia, MO (ACD)"
125,2018,Partial Data,Arcadia,"['\n                    Arcadia, MO (ACD)\n                ']",https://www.railpassengers.org//site/assets/files/6876/acd.pdf,67,stations,"Arcadia, MO (ACD)"
126,2012,59157.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
127,2012,59157.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
128,2013,67583.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
129,2013,67583.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
130,2014,56332.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
131,2014,56332.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
132,2015,61129.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
133,2015,61129.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
134,2016,67629.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
135,2016,67629.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
136,2017,65882.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
137,2017,65882.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
138,2018,63493.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
139,2018,63493.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
140,2012,59157.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
141,2012,59157.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
142,2013,67583.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
143,2013,67583.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
144,2014,56332.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
145,2014,56332.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
146,2015,61129.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
147,2015,61129.0,Ardmore,"['\n                    Ardmore, PA (ARD)\n                ']",https://www.railpassengers.org//site/assets/files/1704/ard.pdf,69,stations,"Ardmore, PA (ARD)"
148,2016,67629.0,Ardmore,"['\n                    Ardmore, OK (ADM)\n                ']",https://www.railpassengers.org//site/assets/files/1703/adm.pdf,68,stations,"Ardmore, OK (ADM)"
