,Year,Ridership,city
0,2012,41499.0,Aberdeen
1,2013,40160.0,Aberdeen
2,2014,39541.0,Aberdeen
3,2015,39648.0,Aberdeen
4,2016,37161.0,Aberdeen
5,2017,37045.0,Aberdeen
6,2018,37867.0,Aberdeen
0,2012,39365.0,Albany
1,2013,40032.0,Albany
2,2014,34796.0,Albany
3,2015,32497.0,Albany
4,2016,33656.0,Albany
5,2017,33933.0,Albany
6,2018,30780.0,Albany
0,2012,750.5,Albany-Rensselaer
1,2013,747.0,Albany-Rensselaer
2,2014,766.2,Albany-Rensselaer
3,2015,816.1,Albany-Rensselaer
4,2016,842.2,Albany-Rensselaer
5,2017,788.1,Albany-Rensselaer
6,2018,790.5,Albany-Rensselaer
0,2012,1980.0,Albion
1,2013,1932.0,Albion
2,2014,1727.0,Albion
3,2015,1808.0,Albion
4,2016,1603.0,Albion
5,2017,2194.0,Albion
6,2018,2011.0,Albion
0,2012,76538.0,Albuquerque
1,2013,76026.0,Albuquerque
2,2014,75398.0,Albuquerque
3,2015,77532.0,Albuquerque
4,2016,75651.0,Albuquerque
5,2017,74293.0,Albuquerque
6,2018,64382.0,Albuquerque
0,2012,603.0,Alderson
1,2013,586.0,Alderson
2,2014,551.0,Alderson
3,2015,432.0,Alderson
4,2016,449.0,Alderson
5,2017,449.0,Alderson
6,2018,433.0,Alderson
0,2012,166.8,Alexandria
1,2013,178.0,Alexandria
2,2014,178.6,Alexandria
3,2015,181.4,Alexandria
4,2016,180.7,Alexandria
5,2017,190.6,Alexandria
6,2018,187.3,Alexandria
0,2012,4373.0,Alliance
1,2013,4538.0,Alliance
2,2014,4691.0,Alliance
3,2015,4714.0,Alliance
4,2016,5191.0,Alliance
5,2017,5020.0,Alliance
6,2018,4501.0,Alliance
0,2012,4416.0,Alpine
1,2013,4921.0,Alpine
2,2014,4756.0,Alpine
3,2015,4969.0,Alpine
4,2016,4943.0,Alpine
5,2017,4999.0,Alpine
6,2018,5311.0,Alpine
0,2012,61346.0,Alton
1,2013,71685.0,Alton
2,2014,67640.0,Alton
3,2015,60761.0,Alton
4,2016,59188.0,Alton
5,2017,63579.0,Alton
6,2018,66591.0,Alton
0,2012,26360.0,Altoona
1,2013,25522.0,Altoona
2,2014,26088.0,Altoona
3,2015,24900.0,Altoona
4,2016,21865.0,Altoona
5,2017,21447.0,Altoona
6,2018,19378.0,Altoona
0,2012,Partial Data,Amherst
1,2013,Partial Data,Amherst
2,2014,Partial Data,Amherst
3,2015,Partial Data,Amherst
4,2016,Partial Data,Amherst
5,2017,Partial Data,Amherst
6,2018,Partial Data,Amherst
0,2012,9197.0,Amsterdam
1,2013,10694.0,Amsterdam
2,2014,11119.0,Amsterdam
3,2015,11099.0,Amsterdam
4,2016,10365.0,Amsterdam
5,2017,10469.0,Amsterdam
6,2018,10166.0,Amsterdam
0,2012,209.4,Anaheim
1,2013,214.5,Anaheim
2,2014,212.8,Anaheim
3,2015,236.3,Anaheim
4,2016,243.9,Anaheim
5,2017,247.6,Anaheim
6,2018,256.6,Anaheim
0,2012,141.9,Ann Arbor
1,2013,155.4,Ann Arbor
2,2014,141.4,Ann Arbor
3,2015,141.2,Ann Arbor
4,2016,127.2,Ann Arbor
5,2017,144.1,Ann Arbor
6,2018,155.6,Ann Arbor
0,2012,6209.0,Anniston
1,2013,5835.0,Anniston
2,2014,5200.0,Anniston
3,2015,5085.0,Anniston
4,2016,4871.0,Anniston
5,2017,4255.0,Anniston
6,2018,3833.0,Anniston
0,2012,39001.0,Antioch-Pittsburg
1,2013,43953.0,Antioch-Pittsburg
